koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_teq,koi_fpflag_nt,koi_fpflag_ss
CONFIRMED,1.0,9.439459486,2.8979,3036.1,175.2,4.16,686.0,0,0
CONFIRMED,1.0,11.523067458,3.8757,507.3,142.0,3.13,927.0,0,0
CONFIRMED,0.0,20.47748843,2.8364,1382.4,52.7,2.92,530.0,0,0
CONFIRMED,1.0,3.336123113,1.9616,516.3,41.6,1.74,970.0,0,0
CONFIRMED,1.0,8.01078456,2.312,1333.6,48.5,1.72,453.0,0,0
CONFIRMED,1.0,12.07134205,4.3224,759.2,31.0,1.29,395.0,0,0
CONFIRMED,0.986,20.99587872,2.6333,767.3,18.2,1.3,328.0,0,0
CONFIRMED,1.0,7.41113177,2.5242,620.5,50.4,2.45,905.0,0,0
FALSE POSITIVE,0.0,1.000747038,0.9967,1823.5,147.4,4.14,1620.0,0,1
CONFIRMED,0.999,8.884922995,2.07004,16053.0,388.2,10.51,770.0,0,0
CONFIRMED,1.0,8.09888906,4.20241,6911.1,435.9,8.95,986.0,0,0
CONFIRMED,1.0,10.00653012,5.344,936.1,71.9,3.52,876.0,0,0
CONFIRMED,0.635,17.855221681,7.41287,9065.2,915.7,13.16,911.0,0,0
CANDIDATE,1.0,12.732624065,2.2083,6465.7,210.5,4.87,432.0,0,0
CANDIDATE,0.966,83.92494032,6.7904,7958.7,182.1,4.78,226.0,0,0
CONFIRMED,1.0,5.007316661,4.2362,6932.3,431.4,6.96,998.0,0,0
CONFIRMED,1.0,2.211116989,1.6485,724.2,42.6,1.85,931.0,0,0
CONFIRMED,0.997,27.9541337,3.95,942.5,25.4,1.9,400.0,0,0
CONFIRMED,0.415,12.69104387,3.7727,252.1,60.2,2.57,1008.0,0,0
FALSE POSITIVE,0.228,4.409409243,3.8636,12861.0,85.8,10.95,1101.0,0,1
CONFIRMED,1.0,16.23947096,4.0374,2590.7,123.8,4.14,598.0,0,0
CONFIRMED,1.0,6.308201629,2.9785,1328.5,86.2,2.96,819.0,0,0
CONFIRMED,1.0,2.052349884,2.0778,14281.0,1072.1,13.12,1497.0,0,0
CONFIRMED,1.0,9.7704486,2.4517,1897.8,58.0,2.23,460.0,0,0
CONFIRMED,1.0,5.169804269,2.153,1037.4,41.4,1.66,569.0,0,0
CONFIRMED,1.0,21.22261195,6.5093,366.0,114.9,2.48,771.0,0,0
CONFIRMED,1.0,20.09017037,4.154,1432.1,36.9,2.25,362.0,0,0
CONFIRMED,0.999,7.11373257,2.1764,807.6,44.4,1.16,429.0,0,0
CONFIRMED,0.999,3.306551643,1.8177,509.2,37.8,0.91,554.0,0,0
CONFIRMED,0.998,15.36845737,2.4714,756.1,30.9,1.11,332.0,0,0
CONFIRMED,1.0,13.81020318,3.048,1309.7,46.2,4.56,833.0,0,0
CONFIRMED,1.0,4.093578461,2.5833,538.6,36.4,2.85,1182.0,0,0
CONFIRMED,0.999,105.145959,8.593,685.4,15.4,3.43,401.0,0,0
CONFIRMED,1.0,10.8484518,2.9993,1675.6,64.5,2.34,499.0,0,0
CONFIRMED,1.0,6.66833241,1.915,362.3,14.2,1.18,587.0,0,0
CONFIRMED,0.997,4.082274889,3.23015,17859.0,1669.1,10.55,1016.0,0,0
CANDIDATE,1.0,3.886655224,3.1646,581.6,48.1,1.87,1010.0,0,0
CONFIRMED,1.0,42.1406089,5.083,895.5,21.6,1.85,349.0,0,0
CONFIRMED,1.0,4.617490562,2.2618,575.8,28.1,1.62,728.0,0,0
CONFIRMED,0.996,10.19849255,2.4283,634.1,21.4,1.75,559.0,0,0
FALSE POSITIVE,0.0,5.795063956,3.2496,1692.9,119.4,4.33,950.0,0,0
CONFIRMED,1.0,7.15681552,2.5882,867.0,47.7,2.47,782.0,0,0
CONFIRMED,1.0,17.64830851,2.0873,763.3,23.8,2.43,579.0,0,0
CONFIRMED,0.957,4.14810719,2.535,175.2,12.9,1.08,938.0,0,0
CONFIRMED,1.0,16.51410989,4.1575,973.5,55.9,2.72,655.0,0,0
CONFIRMED,1.0,30.1329298,5.172,1015.8,44.8,3.14,536.0,0,0
CONFIRMED,1.0,4.79090809,2.603,251.3,21.2,1.36,990.0,0,0
CONFIRMED,1.0,31.71981013,4.819,363.4,63.1,3.09,743.0,0,0
CONFIRMED,1.0,99.6415962,4.448,952.5,22.7,2.64,360.0,0,0
CONFIRMED,1.0,4.708326451,3.16114,7912.7,633.4,10.6,1162.0,0,0
FALSE POSITIVE,0.0,16.37198661,3.8449,4147.6,54.5,540.37,438.0,0,0
CONFIRMED,1.0,5.392026903,2.9804,1151.4,77.4,2.68,850.0,0,0
CANDIDATE,1.0,2.494170338,1.1221,863.7,69.2,2.42,1194.0,0,0
CONFIRMED,1.0,6.491682808,4.301,7163.3,502.3,9.66,1062.0,0,0
FALSE POSITIVE,0.0,3.044770796,10.0134,1695.0,203.5,24.54,1076.0,0,1
CONFIRMED,0.999,3.855603916,3.2179,16653.0,1173.9,13.61,1212.0,0,0
FALSE POSITIVE,0.0,3.855599139,3.183,1030.9,90.1,3.57,1158.0,0,0
CONFIRMED,0.92,38.47876629,5.04169,23530.0,1077.8,13.26,484.0,0,1
FALSE POSITIVE,0.0,37.601661282,8.30604,59130.0,1667.3,27.22,606.0,0,1
CONFIRMED,1.0,3.314947362,1.8007,1398.2,123.5,3.94,1155.0,0,0
FALSE POSITIVE,0.0,6.71969089,3.0231,969.7,45.4,4.37,952.0,0,1
CONFIRMED,0.996,39.6431552,6.5292,15664.0,690.3,10.98,472.0,0,0
FALSE POSITIVE,0.0,51.42598578,16.9422,66068.0,1843.8,29.66,549.0,0,1
CONFIRMED,1.0,21.80451611,3.4097,1144.9,49.9,2.6,543.0,0,0
CONFIRMED,1.0,10.28194593,3.4366,1110.7,55.0,2.53,680.0,0,0
CONFIRMED,1.0,18.11993039,4.2309,1506.9,60.7,2.95,563.0,0,0
CONFIRMED,1.0,3.78402867,1.9012,426.1,25.6,1.7,949.0,0,0
